ÇàÁ¤µ¿ÄÚµå,½Ã°£´ë±¸ºÐ,ÃÑ»ýÈ°ÀÎ±¸¼öÆò±Õ,60-64¼¼,65¼¼-69¼¼,70¼¼ÀÌ»ó
11215710,¾ÆÄ§,32137.02988,627.8901334,487.0964579,624.7965383
11215730,¾ÆÄ§,19356.38679,486.583036,342.7327385,473.5561111
11215740,¾ÆÄ§,16649.37932,533.3375041,390.022475,531.7137675
11215750,¾ÆÄ§,19183.88169,567.1416888,430.8669052,609.1787885
11215760,¾ÆÄ§,16630.38886,569.1434593,436.2826268,653.0681351
11215770,¾ÆÄ§,27975.89873,1009.915308,694.1607437,1020.90923
11215780,¾ÆÄ§,14627.00667,412.8883511,311.3587048,421.7064409
11215810,¾ÆÄ§,39815.08201,1005.279739,724.0227944,1049.592491
11215820,¾ÆÄ§,25797.84395,761.7015909,547.6544561,716.6981518
11215830,¾ÆÄ§,22418.37914,776.1575749,549.2722015,747.7681401
11215840,¾ÆÄ§,24421.46606,777.7393771,551.2569513,809.144219
11215847,¾ÆÄ§,25245.1981,920.8176327,621.5706728,842.108399
11215850,¾ÆÄ§,25682.29696,749.3856052,473.2309918,720.0737576
11215860,¾ÆÄ§,23547.00482,766.9573944,542.8659766,843.1800713
11215870,¾ÆÄ§,31838.84272,1015.796146,672.620571,921.5784558
11230536,¾ÆÄ§,40279.783,1395.854301,961.5840511,1470.542694
11230545,¾ÆÄ§,30746.23714,1094.463751,872.0063327,1409.055085
11230560,¾ÆÄ§,32438.31212,1068.118931,797.5763129,1219.210959
11230570,¾ÆÄ§,17385.14092,569.4223781,403.643698,627.8592903
11230600,¾ÆÄ§,25455.62191,786.3303503,548.3881163,812.1831183
11230610,¾ÆÄ§,25148.09632,950.6011026,651.6991619,988.0580136
11230650,¾ÆÄ§,35424.93313,1254.760097,861.2690323,1209.661319
11230660,¾ÆÄ§,26935.11018,793.9054084,624.5396238,953.4859702
11230705,¾ÆÄ§,18033.57245,724.4863528,604.9608039,901.8789858
11230710,¾ÆÄ§,21457.74656,497.1603245,441.3054668,696.9065249
11230720,¾ÆÄ§,16559.82178,447.586658,348.7146116,508.5802209
11230730,¾ÆÄ§,22000.82463,622.331723,512.4307578,756.6851697
11230740,¾ÆÄ§,23786.8378,556.8389565,434.8369652,712.2916039
11230750,¾ÆÄ§,18206.52937,538.9675372,440.1482066,728.307073
11260520,¾ÆÄ§,23640.15958,819.65743,553.9735889,921.3335382
11260540,¾ÆÄ§,18152.81282,647.6422577,540.7544646,750.0981632
11260550,¾ÆÄ§,10548.46471,369.0537527,264.9630591,379.8445987
11260565,¾ÆÄ§,30926.04496,1044.665271,751.5437264,1115.979641
11260570,¾ÆÄ§,21583.53069,790.7743528,613.165345,853.9888588
