구명,단지명,주택유형,세대수,주소,우편번호,경도,위도,H/B,행정동,행정동_경도,행정동_위도
금천구,보린두레주택(금천구 시흥동),기타임대,10,시흥대로24길 50 (시흥동),8652,126.9071654,37.44127366,H,시흥3동,126.9057853,37.44033606
금천구,금천롯데캐슬골드파크1차,재건축,1743,벚꽃로 40 (독산동 금천롯데캐슬골드파크1차아파트),8608,126.8928453,37.4600584,H,독산1동,126.8970434,37.47023517
노원구,하계5,영구임대,640,섬밭로 201 (하계동 시영아파트),1862,127.0659281,37.63388332,H,하계2동,127.0679782,37.63204009
노원구,중계4,공공임대,1979,노원로19길 31 (중계동 목화아파트),1787,127.0687527,37.64348558,H,중계2.3동,127.0687352,37.64211267
노원구,중계3,영구임대,2619,노원로 331 (중계동 시영3단지목련아파트),1786,127.06966,37.64617746,H,중계2.3동,127.0687352,37.64211267
노원구,공릉1,영구임대,1395,동일로 1127 (공릉동 공릉1단지아파트),1851,127.0698548,37.62958967,H,공릉1동,127.0738213,37.6248359
노원구,월계사슴1,영구임대,1372,월계로 372 (월계동 월계사슴1단지아파트),1905,127.0596641,37.62924721,H,월계3동,127.0692594,37.62101488
노원구,월계사슴2,공공임대,775,월계로55길 16 (월계동 월계사슴2단지아파트),1864,127.0604864,37.63295777,H,월계3동,127.0692594,37.62101488
노원구,학여울청구A(하계2),재개발,486,동일로207길 186 (하계동 학여울청구아파트),1775,127.0597995,37.63795057,H,하계2동,127.0679782,37.63204009
노원구,월계청백1,공공임대,1147,초안산로 89 (월계동 월계청백1단지아파트),1869,127.0519192,37.63583293,H,월계2동,127.0507449,37.63249205
노원구,상계은빛3,공공임대,900,동일로250길 17 (상계동 은빛3단지아파트),1621,127.0567709,37.68246227,H,상계1동,127.0549489,37.67990705
노원구,양지대림2(중계4-2),재개발,331,덕릉로77길 27 (중계동 양지대림2차아파트),1706,127.072762,37.65472375,H,중계1동,127.0774886,37.65254784
노원구,양지대림1(중계4-1),재개발,468,덕릉로73길 31 (중계동 양지대림아파트),1708,127.0711196,37.65223975,H,중계1동,127.0774886,37.65254784
노원구,공릉2-6,공공임대,691,화랑로51길 81 (공릉동 공릉아파트),1800,127.0874001,37.62503484,H,공릉2동,127.0832965,37.62130854
노원구,상계불암대림(상계7),재개발,206,덕릉로94가길 41 (상계동 상계불암대림아파트),1649,127.0776788,37.66403992,H,상계3.4동,127.0832317,37.6729133
노원구,상계동아불암(상계3-1),재개발,434,덕릉로112길 13 (상계동 동아불암아파트),1647,127.0782415,37.66602909,H,상계3.4동,127.0832317,37.6729133
